podkarpackie;847788;0.52;192392;0.23;0.97;0.96;0.97;0.97;2693;285463
lubelskie;785927;0.49;195946;0.25;0.97;0.96;0.97;0.97;2701;340575
świętokrzyskie;455727;0.48;115357;0.25;0.97;0.96;0.96;0.97;1361;217310
małopolskie;1244069;0.47;313656;0.25;0.97;0.95;0.97;0.97;3153;738699
podlaskie;408147;0.46;100100;0.25;0.97;0.95;0.96;0.97;1247;211750
łódzkie;811626;0.44;204805;0.25;0.97;0.95;0.96;0.97;2196;600897
mazowieckie;1780921;0.43;460899;0.26;0.96;0.94;0.96;0.97;4641;1513661
śląskie;1338778;0.40;369335;0.28;0.96;0.95;0.96;0.97;3837;1142146
wielkopolskie;1002004;0.38;312244;0.31;0.96;0.95;0.96;0.97;2343;1012892
kujawsko-pomorskie;572263;0.38;176789;0.31;0.96;0.95;0.96;0.97;1620;522728
dolnośląskie;800580;0.36;221706;0.28;0.96;0.94;0.96;0.97;2402;827543
warmińsko-mazurskie;378728;0.36;115288;0.30;0.96;0.95;0.96;0.97;1027;331020
zachodniopomorskie;431463;0.35;136478;0.32;0.96;0.94;0.95;0.96;1319;464150
opolskie;258907;0.35;80915;0.31;0.96;0.94;0.96;0.97;762;232065
pomorskie;598681;0.34;176361;0.29;0.96;0.94;0.96;0.96;1591;722513
lubuskie;246398;0.33;75169;0.31;0.96;0.94;0.95;0.97;637;283516
